name,orig_n,orig_m,trial,strategy,frac,gen_n,gen_m,degree_js,pagerank_js
karate,34,78,7,greedy,10,36,80,0.18715894645746892,0.8424789279403964
karate,34,78,8,greedy,10,32,61,0.5368348227826539,0.8261557807494434
karate,34,78,9,greedy,10,31,66,0.15056271441521218,0.8527930337581274
karate,34,78,10,greedy,10,36,79,0.23260877235707342,0.7697222318068517
karate,34,78,11,greedy,10,31,67,0.2426726600788095,0.8597034202870906
karate,34,78,12,greedy,10,34,70,0.14528259568396962,0.6255807085114603
karate,34,78,13,greedy,10,36,77,0.2627522270362724,0.7571398778140694
karate,34,78,14,greedy,10,34,65,0.180367279984968,0.7102358612115217
karate,34,78,15,greedy,10,37,76,0.16643848119918334,0.7593628099884117
karate,34,78,16,greedy,10,34,68,0.2061454657790855,0.6445181203681369
karate,34,78,17,greedy,10,35,66,0.5021207045827205,0.5624523179141324
karate,34,78,18,greedy,10,34,70,0.13494681329071107,0.6028397864916253
karate,34,78,19,greedy,10,34,68,0.1707604163492,0.6104619168141
karate,34,78,20,greedy,10,31,63,0.23291666307178627,0.787425398520491
karate,34,78,21,greedy,10,34,72,0.07836712219795819,0.5249523238539413
karate,34,78,22,greedy,10,34,69,0.14816329292226466,0.5461492862909205
karate,34,78,23,greedy,10,37,77,0.17129815414966626,0.7165935228810254
karate,34,78,24,greedy,10,36,80,0.17974990213485054,0.8533113684500115
karate,34,78,25,greedy,10,37,72,0.21177912695549284,0.8027306638889875
karate,34,78,26,greedy,10,36,79,0.17974990213485054,0.7651883192151674
karate,34,78,27,greedy,10,33,68,0.20167388760284571,0.6183476793413333
karate,34,78,28,greedy,10,35,68,0.5021207045827205,0.4468182562969117
karate,34,78,29,greedy,10,34,70,0.14561474830307297,0.6178394123669467
karate,34,78,30,greedy,10,34,69,0.08723079259148597,0.5564840182166529
karate,34,78,31,greedy,10,33,72,0.19810261940960916,0.6752680318683308
karate,34,78,32,greedy,10,33,71,0.1377474776798108,0.6147481515137307
karate,34,78,33,greedy,10,32,62,0.5312061448108077,0.8367605299892386
karate,34,78,34,greedy,10,36,75,0.21561874550907745,0.6906312784204297
karate,34,78,35,greedy,10,31,62,0.1858240507961403,0.7383917657073579
karate,34,78,36,greedy,10,36,75,0.2336066695186612,0.8647618531359995
karate,34,78,37,greedy,10,32,64,0.5778024136110707,0.8433797420530424
karate,34,78,38,greedy,10,37,75,0.1964664984080044,0.8347533989340585
karate,34,78,39,greedy,10,35,70,0.5307382951554682,0.5253421314299881
karate,34,78,40,greedy,10,35,72,0.4825810279661433,0.6578873044486095
karate,34,78,41,greedy,10,37,76,0.15508480030687447,0.722825029542697
karate,34,78,42,greedy,10,34,70,0.14048433930092763,0.7230109908872404
