,name,orig_n,orig_m,attr_name,model,mu,clustering,cost,branch_factor,height,graph_dl,num_rules,unique_rules,grammar_dl
48,karate,34,78,club,VRG-mu-random,3,infomap,1739,9.25,2,3015.3728650601124,1,1,1551.3728650601124
49,karate,34,78,club,VRG-mu-random,6,consensus,908,2.5714285714285716,5,3015.3728650601124,8,8,1291.8096394824229
50,karate,34,78,club,AVRG-mu-random,6,consensus,908,2.5714285714285716,5,3015.3728650601124,8,8,1548.3342881727203
51,karate,34,78,club,VRG-mu-random,7,consensus,908,2.5714285714285716,5,3015.3728650601124,6,6,1195.5692459226682
52,karate,34,78,club,VRG-mu-random,4,consensus,908,2.5714285714285716,5,3015.3728650601124,11,11,1418.9046883402607
53,karate,34,78,club,VRG-mu-random,5,consensus,908,2.5714285714285716,5,3015.3728650601124,10,10,1372.872212678931
54,karate,34,78,club,AVRG-mu-random,4,consensus,908,2.5714285714285716,5,3015.3728650601124,11,11,1626.9633850407859
55,karate,34,78,club,AVRG-mu-random,7,consensus,908,2.5714285714285716,5,3015.3728650601124,6,6,1518.9207015144611
56,karate,34,78,club,AVRG-mu-random,5,consensus,908,2.5714285714285716,5,3015.3728650601124,10,10,1587.9138469195839
57,karate,34,78,club,VRG-mu-random,4,infomap,1739,9.25,2,3015.3728650601124,1,1,1551.3728650601124
58,karate,34,78,club,VRG-mu-random,7,infomap,1739,9.25,2,3015.3728650601124,2,2,2064.158540225464
59,karate,34,78,club,VRG-mu-random,5,infomap,1739,9.25,2,3015.3728650601124,2,2,2064.158540225464
60,karate,34,78,club,AVRG-mu-random,3,infomap,1739,9.25,2,3015.3728650601124,1,1,3053.3728650601124
61,karate,34,78,club,AVRG-mu-random,4,infomap,1739,9.25,2,3015.3728650601124,1,1,3053.3728650601124
62,karate,34,78,club,VRG-mu-random,6,infomap,1739,9.25,2,3015.3728650601124,2,2,2064.158540225464
63,karate,34,78,club,AVRG-mu-random,5,infomap,1739,9.25,2,3015.3728650601124,2,2,3004.95580076281
64,karate,34,78,club,AVRG-mu-random,6,infomap,1739,9.25,2,3015.3728650601124,2,2,3004.95580076281
65,karate,34,78,club,AVRG-all-tnodes,3,infomap,1739,9.25,2,3015.3728650601124,4,4,1755.9750165329926
66,karate,34,78,club,VRG-all-tnodes,3,infomap,1739,9.25,2,3015.3728650601124,4,4,1075.9750165329926
67,karate,34,78,club,AVRG-mu-random,7,infomap,1739,9.25,2,3015.3728650601124,2,2,3004.95580076281
68,football,115,613,value,VRG-mu-random,8,cond,18896,2.0,7,60141.85416244832,17,17,5854.490427338957
69,football,115,613,value,AVRG-mu-random,8,cond,18896,2.0,7,60141.85416244832,17,17,7769.732068012565
70,football,115,613,value,VRG-mu-random,3,cond,18896,2.0,7,60141.85416244832,72,54,4553.619231266639
71,football,115,613,value,AVRG-mu-random,3,cond,18896,2.0,7,60141.85416244832,72,67,5405.178773529041
72,football,115,613,value,VRG-mu-random,3,spectral,24713,3.533333333333333,5,60141.85416244832,27,17,38741.72262125704
73,football,115,613,value,VRG-mu-random,8,spectral,24713,3.533333333333333,5,60141.85416244832,34,28,7835.788085134305
74,football,115,613,value,AVRG-mu-random,3,spectral,24713,3.533333333333333,5,60141.85416244832,27,22,43128.77756712741
75,football,115,613,value,VRG-all-tnodes,3,spectral,24713,3.533333333333333,5,60141.85416244832,45,34,6598.877456815611
76,football,115,613,value,AVRG-mu-random,8,spectral,24713,3.533333333333333,5,60141.85416244832,34,32,9264.704820799085
77,football,115,613,value,VRG-mu-random,3,leiden,62812,4.8,4,60141.85416244832,1,1,15927.105233314634
78,football,115,613,value,VRG-all-tnodes,3,cond,18896,2.0,7,60141.85416244832,114,68,3984.131195486668
79,football,115,613,value,VRG-mu-random,8,leiden,62812,4.8,4,60141.85416244832,18,18,8578.655647595799
80,football,115,613,value,AVRG-mu-random,3,leiden,62812,4.8,4,60141.85416244832,1,1,60260.85416244832
81,football,115,613,value,VRG-all-tnodes,3,leiden,62812,4.8,4,60141.85416244832,30,30,5574.512884124357
82,football,115,613,value,AVRG-all-tnodes,3,spectral,24713,3.533333333333333,5,60141.85416244832,45,40,7666.371121406447
83,football,115,613,value,AVRG-all-tnodes,3,cond,18896,2.0,7,60141.85416244832,114,78,4311.619168618008
84,football,115,613,value,AVRG-mu-random,8,leiden,62812,4.8,4,60141.85416244832,18,18,11856.610143593954
85,football,115,613,value,AVRG-all-tnodes,3,leiden,62812,4.8,4,60141.85416244832,30,30,7310.463419113748
86,football,115,613,value,VRG-mu-random,3,consensus,17593,5.384615384615385,5,60141.85416244832,2,2,24824.658309498926
87,football,115,613,value,VRG-mu-random,8,consensus,17593,5.384615384615385,5,60141.85416244832,12,12,16721.308574966126
88,football,115,613,value,VRG-all-tnodes,3,consensus,17593,5.384615384615385,5,60141.85416244832,26,24,4272.218540460553
